[10/01/2022 | 01:23:07] - DEBUG - arquivo (10-01-2022.txt) criado com sucesso!

[10/01/2022 | 01:23:07] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:23:07] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:23:07] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:23:07] - WARNING - monitor 3 está desabilitado!
[10/01/2022 | 01:23:07] - WARNING - monitor 4 está desabilitado!
[10/01/2022 | 01:23:07] - WARNING - monitor 5 está desabilitado!
[10/01/2022 | 01:23:07] - INFO - monitor 1 (864) criado com sucesso!
[10/01/2022 | 01:23:07] - DEBUG - encerrando monitor 1, por favor aguarde...
[10/01/2022 | 01:23:23] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:23:23] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:23:23] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:23:23] - WARNING - monitor 3 está desabilitado!
[10/01/2022 | 01:23:23] - WARNING - monitor 4 está desabilitado!
[10/01/2022 | 01:23:23] - WARNING - monitor 5 está desabilitado!
[10/01/2022 | 01:23:23] - DEBUG - encerrando monitor 1, por favor aguarde...
[10/01/2022 | 01:23:23] - DEBUG - monitor 1 encerrado!
[10/01/2022 | 01:25:11] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:25:28] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:25:28] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:25:28] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:25:28] - WARNING - monitor 3 está desabilitado!
[10/01/2022 | 01:25:28] - WARNING - monitor 4 está desabilitado!
[10/01/2022 | 01:25:28] - WARNING - monitor 5 está desabilitado!
[10/01/2022 | 01:25:28] - INFO - monitor 1 (3352) criado com sucesso!
[10/01/2022 | 01:25:28] - DEBUG - encerrando monitor 1, por favor aguarde...
[10/01/2022 | 01:25:28] - DEBUG - monitor 1 encerrado!
[10/01/2022 | 01:25:48] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:25:48] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:25:48] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:25:48] - WARNING - monitor 3 está desabilitado!
[10/01/2022 | 01:25:48] - WARNING - monitor 4 está desabilitado!
[10/01/2022 | 01:25:48] - WARNING - monitor 5 está desabilitado!
[10/01/2022 | 01:25:48] - INFO - monitor 1 (13648) criado com sucesso!
[10/01/2022 | 01:25:48] - DEBUG - encerrando monitor 1, por favor aguarde...
[10/01/2022 | 01:26:04] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:26:04] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:26:04] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:26:04] - WARNING - monitor 3 está desabilitado!
[10/01/2022 | 01:26:04] - WARNING - monitor 4 está desabilitado!
[10/01/2022 | 01:26:04] - WARNING - monitor 5 está desabilitado!
[10/01/2022 | 01:26:04] - INFO - monitor 1 (9672) criado com sucesso!
[10/01/2022 | 01:26:04] - DEBUG - encerrando monitor 1, por favor aguarde...
[10/01/2022 | 01:26:04] - DEBUG - monitor 1 encerrado!
[10/01/2022 | 01:26:50] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:26:50] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:26:50] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:26:50] - WARNING - monitor 3 está desabilitado!
[10/01/2022 | 01:26:50] - WARNING - monitor 4 está desabilitado!
[10/01/2022 | 01:26:50] - WARNING - monitor 5 está desabilitado!
[10/01/2022 | 01:26:50] - INFO - monitor 1 (11824) criado com sucesso!
[10/01/2022 | 01:26:50] - DEBUG - encerrando monitor 1, por favor aguarde...
[10/01/2022 | 01:26:50] - DEBUG - monitor 1 encerrado!
[10/01/2022 | 01:27:51] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:27:51] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:27:51] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:27:51] - WARNING - monitor 3 está desabilitado!
[10/01/2022 | 01:27:51] - WARNING - monitor 4 está desabilitado!
[10/01/2022 | 01:27:51] - WARNING - monitor 5 está desabilitado!
[10/01/2022 | 01:27:51] - INFO - monitor 1 (9416) criado com sucesso!
[10/01/2022 | 01:27:51] - DEBUG - encerrando monitor 1, por favor aguarde...
[10/01/2022 | 01:27:51] - DEBUG - monitor 1 encerrado!
[10/01/2022 | 01:29:27] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:29:57] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:29:57] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:29:57] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:29:57] - WARNING - monitor 3 está desabilitado!
[10/01/2022 | 01:29:57] - WARNING - monitor 4 está desabilitado!
[10/01/2022 | 01:29:57] - WARNING - monitor 5 está desabilitado!
[10/01/2022 | 01:29:57] - INFO - monitor 1 (12804) criado com sucesso!
[10/01/2022 | 01:29:57] - DEBUG - encerrando monitor 1, por favor aguarde...
[10/01/2022 | 01:29:57] - DEBUG - monitor 1 encerrado!
[10/01/2022 | 01:30:33] - DEBUG - inicializando, para encerrar a aplicação corretamente pressione (alt+f4)
[10/01/2022 | 01:30:33] - INFO - argumentos adicionadas ao monitor 1
[10/01/2022 | 01:30:33] - WARNING - monitor 2 está desabilitado!
[10/01/2022 | 01:30:33] - WARNING - monitor 3 está desabilitado!
